Asset,Timeframe,Entry_Rule,Exit_Rule,Total_PnL_USD,Win_Rate,Completed_Trades
BTCUSDT,1h,IchimokuEntry,CustomExit/SL,0,0,0
BTCUSDT,4h,IchimokuEntry,CustomExit/SL,0,0,0
BTCUSDT,1d,IchimokuEntry,CustomExit/SL,0,0,0
ETHUSDT,1h,IchimokuEntry,CustomExit/SL,0,0,0
ETHUSDT,4h,IchimokuEntry,CustomExit/SL,0,0,0
ETHUSDT,1d,IchimokuEntry,CustomExit/SL,0,0,0
