Timestamp,Open,High,Low,Close,Volume,rsi,short_term_ma,long_term_ma,macd,adx,di_plus,di_minus,BB_middle,BB_upper,BB_lower,KAMA,ST_DIR,Tenkan-sen,Kijun-sen,Senkou Span A,Senkou Span B,Chikou Span,TREND_UP,TREND_DOWN,MARKET_STRUCTURE_TREND
2023-03-22 19:00:00,28595.06,28868.05,26650.27,26667.33,84244.59506,41.4110044206335,27888.969999999998,27695.114285714284,-159.03356339084735,33.38124282522693,19.202548668390907,23.950972896594138,27893.1085,28734.965093095074,27051.251906904923,27587.114182435456,-1.0,26323.42,25826.895,22486.212499999998,22184.545,28595.07,False,True,DOWNTREND
2023-03-22 23:00:00,26668.8,27437.98,26601.8,27250.97,28322.57012,47.91723667262485,27857.292142857146,27691.22428571429,-184.9121065229005,31.86371016529835,17.521661034067087,22.36183681763731,27878.326,28755.44438152931,27001.207618470693,27583.379689425034,-1.0,26706.42,25826.895,22750.7425,22184.545,26667.33,False,True,DOWNTREND
2023-03-23 03:00:00,27250.97,27428.69,27105.0,27356.78,13920.76715,49.0224816451322,27826.69785714286,27688.141785714284,-188.77894984042177,30.45457269536467,16.904777117906114,21.57454516521943,27833.3715,28721.112776801776,26945.630223198226,27575.318361890797,-1.0,26837.43,25826.895,23534.177499999998,22967.98,27250.97,False,True,DOWNTREND
2023-03-23 07:00:00,27356.79,27700.0,27258.0,27631.93,14310.97848,51.882041610329715,27820.620714285713,27702.631071428572,-167.4094312317044,28.535040975966645,19.094175586795114,20.512543127621992,27816.324500000002,28705.87892084271,26926.770079157293,27576.321869608906,-1.0,26937.515,25826.895,23561.1825,22967.98,27356.78,False,True,DOWNTREND
2023-03-23 11:00:00,27631.93,27738.27,27439.5,27584.53,11897.09818,51.347680484131416,27806.137857142858,27711.7275,-151.54530286128113,26.667859955563635,18.876756313255683,19.802944333028446,27832.092500000006,28691.478647895405,26972.706352104608,27576.522804959222,-1.0,27010.42,25826.895,23624.442499999997,22967.98,27631.93,False,True,DOWNTREND
2023-03-23 15:00:00,27584.52,28750.0,27275.92,28580.87,40190.57705,60.54624485280025,27882.967857142856,27771.491071428572,-73.0090194257632,26.390753417095812,26.602555117837415,16.728186158062215,27851.979500000005,28762.45851572904,26941.50048427097,27592.915468766634,-1.0,27167.42,25826.895,24073.442499999997,22967.98,27584.53,True,False,UPTREND
2023-03-23 19:00:00,28580.86,28647.05,27772.22,28369.99,34052.53912,58.044792281251496,27906.529285714285,27813.3225,-36.18360290008604,26.133440202804262,24.20095347428093,15.218013951183353,27861.032500000005,28789.049886789693,26933.015113210316,27599.52646163773,-1.0,27151.425,25826.895,24119.192499999997,22967.98,28580.87,True,False,UPTREND
2023-03-23 23:00:00,28369.82,28438.0,27967.93,28295.41,14277.6482,57.14558582031281,27924.697142857145,27860.486785714285,-18.65138153656011,25.89450650381925,22.999466850227577,14.462496602396442,27891.08,28835.16492626445,26946.995073735554,27605.039968600588,-1.0,27164.0,25826.895,24128.797499999997,22967.98,28369.99,True,False,UPTREND
2023-03-24 03:00:00,28295.42,28374.3,28134.86,28219.98,8820.33865,56.19734560023775,27931.350000000002,27898.308214285713,-14.142563886805476,25.67263949761888,22.38971396934942,14.079072541941994,27912.824,28866.61367910881,26959.03432089119,27608.666391885028,-1.0,27477.0,26136.475,24128.797499999997,22967.98,28295.41,True,False,UPTREND
2023-03-24 07:00:00,28219.98,28335.32,28102.15,28274.59,9065.12568,56.75680199133213,27943.43,27924.307142857146,-9.70184028455958,25.37381065194527,21.78404507313384,14.077701552995729,27940.703,28902.951661944764,26978.45433805524,27616.558295907587,-1.0,27484.05,26143.525,24165.7325,22967.98,28219.98,True,False,UPTREND
