======================================================================
TRADING BOT LOG FILE
======================================================================

[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-04 23:00:00, Price: 39148.66, New Balance: $8959.15, PnL: $-144.97 (-1.59%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=29.82, BB_Lower=39585.63, KAMA=40680.93, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-05 23:00:00, Price: 39397.96, Cash: $0.00, Position: 0.22740, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=34.45, BB_Lower=37565.72, KAMA=39468.35, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-06 11:00:00, Price: 38352.48, New Balance: $8721.41, PnL: $-237.74 (-2.65%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=27.85, BB_Lower=37239.06, KAMA=39232.70, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-06 19:00:00, Price: 38670.66, Cash: $0.00, Position: 0.22553, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=33.60, BB_Lower=37296.10, KAMA=39211.44, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-07 03:00:00, Price: 37869.45, New Balance: $8540.71, PnL: $-180.70 (-2.07%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=28.45, BB_Lower=37154.03, KAMA=39051.67, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-08 07:00:00, Price: 38547.79, Cash: $0.00, Position: 0.22156, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=44.34, BB_Lower=37500.47, KAMA=38739.09, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-09 03:00:00, Price: 41217.73, New Balance: $9132.27, PnL: $591.56 (6.93%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=63.33, BB_Lower=37131.35, KAMA=38961.50, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-20 03:00:00, Price: 41942.34, Cash: $0.00, Position: 0.21773, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=63.29, BB_Lower=40079.37, KAMA=41425.11, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-21 03:00:00, Price: 40832.93, New Balance: $8890.71, PnL: $-241.56 (-2.65%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=45.34, BB_Lower=40310.31, KAMA=41377.74, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-21 15:00:00, Price: 41224.48, Cash: $0.00, Position: 0.21567, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=51.39, BB_Lower=40568.78, KAMA=41323.70, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-22 11:00:00, Price: 42983.00, New Balance: $9269.96, PnL: $379.25 (4.27%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=70.24, BB_Lower=40579.80, KAMA=41591.84, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-22 15:00:00, Price: 42573.81, Cash: $0.00, Position: 0.21774, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=63.56, BB_Lower=40550.31, KAMA=41674.03, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-24 15:00:00, Price: 44000.01, New Balance: $9580.50, PnL: $310.54 (3.35%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=69.68, BB_Lower=40814.92, KAMA=42247.63, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-24 19:00:00, Price: 43908.30, Cash: $0.00, Position: 0.21819, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=68.29, BB_Lower=40871.09, KAMA=42485.88, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-25 11:00:00, Price: 44585.28, New Balance: $9728.21, PnL: $147.71 (1.54%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=72.59, BB_Lower=41370.27, KAMA=43399.77, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-25 15:00:00, Price: 44318.21, Cash: $0.00, Position: 0.21951, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=68.00, BB_Lower=41410.29, KAMA=43521.58, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-27 23:00:00, Price: 46827.76, New Balance: $10279.08, PnL: $550.87 (5.66%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=81.49, BB_Lower=43281.30, KAMA=44789.63, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-28 07:00:00, Price: 46989.24, Cash: $0.00, Position: 0.21875, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=81.23, BB_Lower=42915.84, KAMA=45976.27, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-28 11:00:00, Price: 47252.54, New Balance: $10336.68, PnL: $57.60 (0.56%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=82.41, BB_Lower=42838.86, KAMA=46401.54, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-28 23:00:00, Price: 47122.21, Cash: $0.00, Position: 0.21936, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=70.52, BB_Lower=42765.57, KAMA=47153.73, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-29 03:00:00, Price: 47335.06, New Balance: $10383.37, PnL: $46.69 (0.45%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=71.86, BB_Lower=42833.00, KAMA=47186.63, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-29 15:00:00, Price: 47440.00, Cash: $0.00, Position: 0.21887, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=68.03, BB_Lower=43207.81, KAMA=47351.15, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-31 15:00:00, Price: 46453.81, New Balance: $10167.52, PnL: $-215.85 (-2.08%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=47.35, BB_Lower=46664.19, KAMA=46997.21, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-31 19:00:00, Price: 45581.97, Cash: $0.00, Position: 0.22306, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=36.63, BB_Lower=46218.68, KAMA=46467.36, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-04-01 03:00:00, Price: 44599.98, New Balance: $9948.48, PnL: $-219.04 (-2.15%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=28.30, BB_Lower=45327.18, KAMA=45513.11, ST_DIR=-1
